charge_code,dmpsj_category
"22DC401,3004(1)",Sex offense
22DC4014,Sex offense
22DC40144015,Sex offense
22DC401-V,Sex offense
22DC4102(1)(2)2000ED,Sex offense
22DC4104(1)(2)2000ED,Sex offense
22DUSC03009,Sex offense
ACT16-445SEC214,Sex offense
22DC3133,Stalking
22DC3133(A)(1)3134A,Stalking
22DC3133(A)(2)3134A,Stalking
22DC3133(A)(3)3134A,Stalking
22DC3134(B)(1),Stalking
22DC404[B][D],Stalking
22DC404B,Stalking
22DC851(D)-Z,Stalking
47DC4101(B),Taxes
47DC4103B,Taxes
18USC01707,Theft
18USC01708,Theft
22DC3211,Theft
"22DC3211,3212A",Theft
"22DC3211,3212B",Theft
"22DC3211,3212C",Theft
"22DC3211,3212C-X",Theft
22DC3213,Theft
22DC3216,Theft
41RUSC102-74.380c,Theft
18USC01957,Trafficking stolen property
22DC3231,Trafficking stolen property
"22DC3232A,C1",Trafficking stolen property
"22DC3232A,C2",Trafficking stolen property
10DC503.13,Unlawful assembly
10DC503.16(A),Unlawful assembly
10DC503.16B4,Unlawful assembly
10DC503.17,Unlawful assembly
22DC1307,Unlawful assembly
40USC6102,Unlawful assembly
"40USC6102,6137",Unlawful assembly
40USC6134,Unlawful assembly
40USC6135,Unlawful assembly
22DC3302,Unlawful entry
18DCMR1101.1,Vehicle
18DCMR1101.1-Z,Vehicle
18DCMR2200.12,Vehicle
18MR1104.4-1,Vehicle
18USC00511,Vehicle
22DC1341,Vehicle
22DC3215,Vehicle
22DC3215(D)(2)(A),Vehicle
22DC3215(D)(3)(A),Vehicle
25DC1001(A)(2),Vehicle
25DC1001(A)(2)(D),Vehicle
50DC1401.01(D),Vehicle
50DC1401[D] X,Vehicle
50DC1403.01[E] W,Vehicle
50DC1403.01[E] Y,Vehicle
50DC1501.04(A)(1)(A),Vehicle
50DC2201.04(B),Vehicle
50DC2201.04[B],Vehicle
50DC2201.04[B] 2013,Vehicle
50DC2201.04[B-1)(1),Vehicle
50DC2201.04[B-1)(3),Vehicle
50DC2201.04BA,Vehicle
50DC2201.05[B]1[C] W,Vehicle
50DC2201.05[B]2,Vehicle
50DC2201.05[B]2[1],Vehicle
50DC2206.11,Vehicle
